date,cases_cumul,cases_hosp,cases_icu,deaths_cumul,cases_hcp,clusters_cumul,cases_female,cases_male,cases_gender_unknown,cases_below_1,cases_1_4,cases_under_5,cases_5_14,cases_15_24,cases_25_34,cases_35_44,cases_45_54,cases_55_64,cases_65_plus,cases_65_74,cases_75_84,cases_85_plus,cases_age_unknown,percent_comm_trns,percent_contact,percent_travel,cases_hcp_travel,cases_hcp_no_travel,cases_hcp_tbc,hosp_under_5,hosp_5_14,hosp_15_24,hosp_25_34,hosp_35_44,hosp_45_54,hosp_55_64,hosp_65_plus,hosp_65_74,hosp_75_84,hosp_85_plus,hosp_age_unknown,cases_carlow,cases_cavan,cases_clare,cases_cork,cases_donegal,cases_dublin,cases_galway,cases_kerry,cases_kildare,cases_kilkenny,cases_laois,cases_leitrim,cases_limerick,cases_longford,cases_louth,cases_mayo,cases_meath,cases_monaghan,cases_offaly,cases_roscommon,cases_sligo,cases_tipperary,cases_waterford,cases_westmeath,cases_wexford,cases_wicklow
01-Jun,25064,3298,409,1399,8004,872,14336,10697,31,47,109,156,318,1842,4207,4407,4503,3213,6395,1788,2264,2343,23,0.39,0.5852,0.0229,NA,NA,NA,19,17,72,197,255,443,484,1808,579,749,480,3,166,844,369,1517,477,12093,482,308,1419,339,260,83,582,283,775,570,801,512,478,336,129,539,152,670,213,667
02-Jun,25104,3311,410,1404,8025,876,14358,10715,31,47,109,156,319,1842,4209,4416,4511,3221,6407,1791,2272,2344,23,0.3895,0.586,0.0228,NA,NA,NA,19,18,73,197,257,443,487,1814,581,751,482,3,169,846,369,1521,477,12109,481,308,1419,339,260,83,582,284,776,570,802,521,479,337,129,540,152,670,213,668
03-Jun,25135,3312,410,1409,8046,880,14370,10734,31,47,109,156,319,1847,4211,4424,4522,3227,6404,1789,2273,2342,23,0.39,0.59,0.02,NA,NA,NA,20,18,73,196,257,443,488,1814,580,753,481,3,169,854,369,1527,472,12118,481,308,1419,340,260,83,582,284,777,570,804,527,479,337,129,540,154,671,213,668
04-Jun,25159,3319,410,1417,8059,885,14384,10743,32,NA,NA,161,321,1850,4216,4425,4524,3228,6411,1792,2273,2346,23,0.39,0.59,0.02,NA,NA,NA,20,18,73,197,257,443,490,1818,580,755,483,3,168,858,368,1528,472,12127,481,308,1423,340,261,84,582,284,777,570,805,528,479,337,128,540,154,671,214,668
05-Jun,25176,3321,409,1420,8057,888,14393,10751,32,NA,NA,161,320,1854,4219,4430,4527,3226,6416,1793,2277,2346,23,0.3881,0.5881,0.0228,NA,NA,NA,20,17,73,197,258,443,490,1820,580,758,482,3,168,858,368,1529,471,12139,481,308,1423,344,262,84,582,285,777,570,806,528,479,337,128,540,154,671,214,670
06-Jun,25198,3322,411,1424,8073,891,14406,10759,33,NA,NA,162,321,1859,4222,4434,4530,3229,6417,1793,2278,2346,24,0.3877,0.5885,0.0228,NA,NA,NA,20,18,72,197,258,444,491,1819,580,757,482,3,168,858,368,1529,471,12158,481,308,1423,345,262,84,583,285,776,570,804,530,479,337,128,540,154,671,216,670
07-Jun,25206,3331,413,1431,8087,892,14408,10766,32,NA,NA,161,321,1859,4224,4437,4533,3229,6419,1795,2278,2346,23,0.3846,0.5917,0.0229,NA,NA,NA,20,18,72,199,260,445,490,1825,581,759,485,2,167,858,368,1529,471,12159,483,308,1424,345,262,84,583,285,778,570,804,531,480,338,128,540,154,671,216,670
08-Jun,25212,3321,411,1433,8099,887,14409,10771,32,NA,NA,161,320,1861,4223,4438,4535,3232,6419,1794,2278,2347,23,0.38,0.6,0.02,NA,NA,NA,20,17,71,198,260,445,489,1819,579,754,486,2,168,858,368,1531,470,12163,483,308,1424,345,262,84,583,285,778,570,804,531,480,338,128,540,154,671,216,670
09-Jun,25230,3307,412,1440,8114,901,14421,10777,32,0,162,162,320,1866,4226,4441,4538,3232,6422,1794,2278,2350,23,0.38,0.6,0.02,NA,NA,NA,20,17,69,198,261,444,490,1806,576,748,482,2,168,858,369,1532,470,12167,485,308,1426,346,262,84,583,285,778,570,804,534,481,340,128,541,154,671,216,670
10-Jun,25237,3275,415,1443,8116,917,14425,10780,32,0,163,163,320,1866,4228,4442,4539,3232,6424,1795,2278,2351,23,0.38,0.6,0.02,NA,NA,NA,20,17,69,199,261,444,490,1773,572,733,468,2,168,859,369,1533,469,12172,485,308,1426,346,262,84,583,285,778,570,805,534,481,341,128,541,154,670,216,670
11-Jun,25249,3276,416,1445,8123,941,14434,10784,31,0,165,165,320,1867,4230,4443,4540,3232,6429,1798,2278,2353,23,0.3733,0.6033,0.0233,NA,NA,NA,20,17,69,199,261,444,490,1774,575,733,466,2,168,860,369,1533,470,12179,485,308,1426,346,264,84,584,285,778,570,805,534,481,341,128,541,154,670,216,670
12-Jun,25295,3279,416,1446,8130,970,14460,10804,31,0,167,167,323,1871,4239,4452,4548,3236,6436,1799,2282,2355,23,0.37,0.6,0.02,NA,NA,NA,20,17,69,200,261,444,491,1775,575,733,467,2,171,860,369,1533,470,12210,486,308,1426,348,264,84,584,285,778,571,805,535,481,342,128,541,154,670,216,670
09-Jun,25230,3307,412,1440,8114,901,14421,10777,32,NA,NA,162,320,1866,4226,4441,4538,3232,6422,1794,2278,2350,23,0.38,0.6,0.02,NA,NA,NA,20,17,69,198,261,444,490,1806,576,748,482,2,168,858,369,1532,470,12167,485,308,1426,346,262,84,583,285,778,570,804,534,481,340,128,541,154,671,216,670
10-Jun,25237,3275,415,1443,8116,917,14425,10780,32,NA,NA,163,320,1866,4228,4442,4539,3232,6424,1795,2278,2351,23,0.38,0.6,0.02,NA,NA,NA,20,17,69,199,261,444,490,1773,572,733,468,2,168,859,369,1533,469,12172,485,308,1426,346,262,84,583,285,778,570,805,534,481,341,128,541,154,670,216,670
11-Jun,25249,3276,416,1445,8123,941,14434,10784,31,NA,NA,165,320,1867,4230,4443,4540,3232,6429,1798,2278,2353,23,0.3731,0.6031,0.0231,NA,NA,NA,20,17,69,199,261,444,490,1774,575,733,466,2,168,860,369,1533,470,12179,485,308,1426,346,264,84,584,285,778,570,805,534,481,341,128,541,154,670,216,670
12-Jun,25295,3279,416,1446,8130,970,14460,10804,31,NA,NA,167,323,1871,4239,4452,4548,3236,6436,1799,2282,2355,23,0.37,0.6,0.02,NA,NA,NA,20,17,69,200,261,444,491,1775,575,733,467,2,171,860,369,1533,470,12210,486,308,1426,348,264,84,584,285,778,571,805,535,481,342,128,541,154,670,216,670
13-Jun,25303,3278,417,1446,8130,976,14465,10808,30,NA,NA,167,323,1873,4241,4452,4549,3236,6439,1799,2285,2355,23,0.3735,0.6027,0.023,NA,NA,NA,20,17,69,200,261,444,491,1774,575,733,466,2,171,860,369,1533,470,12213,486,308,1434,348,264,84,584,285,778,572,805,535,481,342,128,541,154,670,216,672
14-Jun,25320,3282,418,1449,8139,976,14475,10815,30,NA,NA,169,324,1874,4242,4455,4553,3238,6442,1800,2285,2357,23,0.3726,0.6038,0.023,NA,NA,NA,20,17,69,200,261,445,490,1778,577,734,467,2,171,859,369,1533,470,12228,486,308,1434,348,264,84,585,285,778,572,805,536,481,342,129,541,154,670,216,672
15-Jun,25333,3278,417,1452,8144,981,14483,10820,30,NA,NA,170,324,1874,4243,4458,4557,3238,6446,1800,2286,2360,23,0.3715,0.6049,0.023,NA,NA,NA,21,16,70,199,262,444,487,1777,576,734,467,2,171,859,369,1535,470,12235,486,308,1435,350,264,84,584,285,778,572,806,536,481,343,129,541,154,670,216,672
16-Jun,25339,3282,417,1453,8147,1005,14487,10822,30,NA,NA,170,324,1875,4244,4459,4558,3239,6447,1801,2287,2359,23,0.3708,0.6056,0.023,NA,NA,NA,21,16,70,199,262,445,487,1780,579,734,467,2,171,860,369,1535,470,12239,485,308,1436,350,264,84,583,285,778,571,806,536,482,344,129,541,155,670,216,672
17-Jun,25355,3286,416,1455,8154,1031,14494,10831,30,NA,NA,170,325,1877,4248,4462,4561,3240,6449,1801,2289,2359,23,0.3701,0.6062,0.023,NA,NA,NA,21,16,70,200,262,445,488,1782,579,735,468,2,173,860,369,1535,470,12248,485,309,1439,351,264,84,583,285,778,571,806,536,482,344,129,541,155,670,216,672
18-Jun,25352,3280,419,1457,8152,1033,14487,10835,30,NA,NA,170,326,1878,4249,4464,4557,3240,6446,1799,2286,2361,22,0.3695,0.6069,0.0231,NA,NA,NA,21,16,70,197,263,443,488,1780,576,735,469,2,173,860,369,1535,464,12257,485,310,1439,353,264,78,583,285,779,571,806,536,482,344,125,541,155,670,216,672
19-Jun,25373,3282,419,1457,8158,1036,14498,10845,30,NA,NA,170,326,1883,4253,4467,4559,3243,6450,1801,2287,2362,22,0.37,0.61,0.02,NA,NA,NA,21,16,70,197,263,444,488,1781,576,735,470,2,174,862,369,1535,464,12263,485,310,1443,354,264,78,583,285,780,572,807,536,483,344,125,541,155,672,216,673
20-Jun,25379,3284,431,1459,8161,1069,14502,10847,30,NA,NA,170,326,1883,4254,4469,4560,3243,6452,1801,2287,2364,22,0.3649,0.6113,0.0232,NA,NA,NA,21,16,70,197,264,444,489,1781,576,735,470,2,174,862,369,1535,464,12267,485,310,1443,354,265,78,583,285,780,572,807,536,483,344,125,541,155,672,216,674
21-Jun,25381,3285,434,1461,8172,1100,14502,10849,30,NA,NA,170,326,1884,4255,4468,4562,3243,6451,1801,2287,2363,22,0.36,0.62,0.02,NA,NA,NA,21,16,70,197,264,444,489,1782,577,736,469,2,175,861,369,1535,464,12238,485,310,1467,353,265,78,583,285,780,572,807,536,483,345,125,541,155,672,216,681
22-Jun,25391,3292,434,1467,8177,1212,14508,10853,30,NA,NA,170,327,1884,4256,4471,4562,3247,6452,1801,2287,2364,22,0.36,0.62,0.02,NA,NA,NA,21,16,70,197,265,445,490,1786,579,737,470,2,175,861,369,1535,464,12218,485,310,1476,354,265,78,583,285,780,572,808,536,483,345,125,543,156,672,216,697
23-Jun,25394,3293,433,1468,8178,1321,14509,10855,30,NA,NA,170,327,1884,4256,4471,4562,3247,6455,1802,2287,2366,22,0.354,0.623,0.023,NA,NA,NA,21,16,70,196,265,444,490,1789,580,737,472,2,175,862,369,1535,464,12218,485,310,1477,354,265,78,583,285,780,571,808,537,483,345,125,543,156,672,217,697
24-Jun,25403,3293,434,1470,8185,1339,14515,10858,30,NA,NA,170,327,1885,4257,4472,4562,3249,6459,1802,2289,2368,22,0.351,0.626,0.023,NA,NA,NA,21,16,69,196,265,443,492,1789,580,736,473,2,175,862,369,1535,464,12226,485,310,1478,354,265,78,583,285,780,571,808,537,483,345,125,543,156,672,217,697
25-Jun ,25403,3293,434,1470,8185,1339,14515,10858,30,NA,NA,170,327,1885,4257,4472,4562,3249,6459,1802,2289,2368,22,0.351,0.626,0.023,NA,NA,NA,21,16,69,196,265,443,492,1789,580,736,473,2,175,862,369,1535,464,12226,485,310,1478,354,265,78,583,285,780,571,808,537,483,345,125,543,156,672,217,697
26-Jun,25403,3293,434,1470,8185,1339,14515,10858,30,NA,NA,170,327,1885,4257,4472,4562,3249,6459,1802,2289,2368,22,0.351,0.626,0.023,NA,NA,NA,21,16,69,196,265,443,492,1789,580,736,473,2,175,862,369,1535,464,12226,485,310,1478,354,265,78,583,285,780,571,808,537,483,345,125,543,156,672,217,697
27-Jun,25438,3293,435,1474,8201,1429,14532,10876,30,NA,NA,171,327,1891,4268,4480,4567,3249,6463,1803,2291,2369,22,0.35,0.627,0.023,NA,NA,NA,21,16,69,196,265,444,492,1788,580,735,473,2,175,862,369,1536,464,12245,485,310,1481,355,265,78,583,286,781,571,808,538,483,345,128,543,157,672,217,701
28-Jun,25462,3295,434,1475,8208,1429,14550,10882,30,NA,NA,172,327,1894,4273,4483,4570,3251,6470,1805,2295,2370,22,0.348,0.629,0.023,NA,NA,NA,21,16,69,196,266,444,492,1789,580,736,473,2,175,862,369,1536,465,12250,485,310,1487,355,265,79,583,286,781,572,808,538,483,345,138,543,157,672,217,701
29-Jun,25471,3298,434,1477,8215,1687,14554,10887,30,NA,NA,171,328,1896,4277,4484,4572,3251,6470,1805,2295,2370,22,0.35,0.63,0.02,NA,NA,NA,21,16,71,196,266,444,492,1790,580,737,473,2,175,862,368,1536,465,12254,485,310,1488,355,265,80,583,286,781,572,808,538,483,345,141,543,158,672,217,701
30-Jun,25471,3298,434,1477,8215,1687,14554,10887,30,NA,NA,171,328,1896,4277,4484,4572,3251,6470,1805,2295,2370,22,0.35,0.63,0.02,NA,NA,NA,21,16,71,196,266,444,492,1790,580,737,473,2,175,862,368,1536,465,12254,485,310,1488,355,265,80,583,286,781,572,808,538,483,345,141,543,158,672,217,701
1-Jul,25489,3307,436,1480,8219,1772,14565,10894,30,NA,NA,171,328,1901,4283,4484,4576,3253,6471,1805,2295,2371,22,0.333,0.643,0.023,NA,NA,NA,21,16,72,197,267,446,492,1794,580,741,473,2,175,862,368,1540,465,12262,486,310,1491,355,265,80,586,286,781,572,808,538,483,345,141,543,158,673,217,699
2-Jul,25498,3309,436,1480,8226,1809,14565,10901,30,NA,NA,173,329,1901,4287,4485,4576,3254,6471,1805,2295,2371,22,0.333,0.643,0.023,NA,NA,NA,22,17,72,197,267,446,492,1794,580,741,473,2,175,862,368,1540,465,12262,486,310,1491,355,265,80,586,286,781,572,808,538,483,345,141,543,158,673,217,699
3-Jul,25509,3308,436,1480,8227,1823,14565,10909,30,NA,NA,174,329,1901,4289,4488,4580,3255,6471,1805,2295,2371,22,0.333,0.643,0.023,NA,NA,NA,22,17,72,197,267,446,492,1793,580,741,473,2,175,862,368,1540,465,12262,486,310,1491,355,265,80,586,286,781,572,808,538,483,345,141,543,158,673,217,699
4-Jul,25527,3309,437,1481,8234,1823,14578,10919,30,NA,NA,175,330,1902,4291,4493,4583,3257,6473,1805,2297,2371,23,0.332,0.645,0.023,NA,NA,NA,22,17,72,197,267,447,492,1793,579,741,473,2,175,864,368,1543,466,12270,486,310,1497,356,265,82,587,287,782,572,811,538,486,346,145,542,158,674,218,699
5-Jul,25514,3307,436,1482,8237,1827,14572,10912,30,NA,NA,175,330,1903,4289,4491,4577,3256,6471,1805,2296,2370,22,0.33,0.646,0.023,NA,NA,NA,22,17,73,197,267,446,491,1792,579,741,472,2,175,864,368,1542,466,12255,486,311,1498,356,265,82,587,287,782,572,811,538,486,346,146,542,158,674,218,699
6-Jul,25531,3313,436,1479,8251,1860,14583,10918,30,NA,NA,176,330,1905,4293,4498,4578,3259,6470,1805,2296,2369,22,0.329,0.647,0.024,NA,NA,NA,22,17,73,197,268,445,491,1798,583,741,474,2,175,864,368,1543,466,12263,487,310,1499,356,265,82,587,287,785,572,812,539,486,346,146,543,160,674,218,698
7-Jul,25543,3328,436,1484,8265,1884,14591,10922,30,NA,NA,177,330,1908,4296,4499,4580,3260,6471,1805,2296,2370,22,0.328,0.648,0.024,NA,NA,NA,23,17,74,197,271,447,495,1802,583,743,476,2,175,865,368,1545,467,12266,487,310,1500,356,265,82,588,287,785,572,812,539,486,346,146,543,160,676,218,699
8-Jul,25564,3328,436,1485,8268,1896,14604,10930,30,NA,NA,178,332,1922,4299,4500,4580,3260,6471,1805,2296,2370,22,0.326,0.649,0.024,NA,NA,NA,23,17,74,197,271,447,495,1802,583,743,476,2,175,865,368,1545,468,12275,486,310,1503,356,265,82,589,287,785,573,812,539,486,346,147,543,165,676,218,700
9-Jul,25588,3330,436,1487,8273,1920,14619,10939,30,NA,NA,178,336,1933,4300,4505,4582,3260,6472,1806,2296,2370,22,0.326,0.65,0.024,NA,NA,NA,23,17,74,197,273,447,495,1802,583,743,476,2,176,865,368,1545,468,12287,490,311,1506,356,265,82,589,287,785,573,812,539,486,346,148,543,165,676,218,702
10-Jul,25611,3330,436,1487,8276,1935,14633,10947,31,NA,NA,179,337,1939,4305,4510,4585,3260,6474,1808,2296,2370,22,0.326,0.649,0.024,NA,NA,NA,23,17,74,197,273,447,495,1802,583,743,476,2,176,866,369,1545,468,12294,489,311,1513,356,265,82,589,287,787,573,812,539,486,346,148,543,165,676,221,705
11-Jul,25627,3330,436,1487,8284,1935,14643,10954,30,NA,NA,179,336,1940,4316,4512,4586,3261,6475,1809,2296,2370,22,0.326,0.65,0.024,NA,NA,NA,23,17,74,197,273,447,495,1802,583,743,476,2,176,865,369,1546,468,12308,489,311,1513,356,265,82,589,287,787,573,812,539,486,346,148,543,165,676,221,707
12-Jul,25638,3332,436,1487,8293,1933,14650,10958,30,NA,NA,179,336,1942,4319,4512,4588,3263,6477,1810,2297,2370,22,0.324,0.652,0.024,NA,NA,NA,23,17,75,197,273,447,495,1803,584,743,476,2,176,865,369,1548,468,12312,489,314,1514,356,265,82,589,287,787,573,812,539,486,346,148,543,165,676,221,708
12-Jul,25638,3332,436,1487,8293,1933,14650,10958,30,NA,NA,179,336,1942,4319,4512,4588,3263,6477,1810,2297,2370,22,0.324,0.652,0.024,NA,NA,NA,23,17,75,197,273,447,495,1803,584,743,476,2,176,865,369,1548,468,12312,489,314,1514,356,265,82,589,287,787,573,812,539,486,346,148,543,165,676,221,708
13-Jul,25669,3337,437,1488,8313,1976,14672,10970,27,NA,NA,179,336,1944,4326,4517,4596,3267,6482,1811,2299,2372,22,32.3,65.3,2.4,NA,NA,NA,23,17,75,198,274,448,496,1804,584,744,476,2,176,865,369,1550,468,12326,489,316,1517,356,265,82,589,287,789,573,817,540,486,346,148,543,166,676,221,709
14-Jul,25677,3339,437,1490,8324,2019,14674,10976,27,NA,NA,179,336,1946,4329,4518,4598,3267,6484,1813,2299,2372,22,32,66,2,NA,NA,NA,23,17,75,198,274,448,497,1806,586,744,476,2,176,866,369,1550,469,12331,489,316,1517,356,265,82,589,287,789,573,817,540,486,346,148,543,166,676,222,709
15-Jul,25696,3339,437,1493,8326,2101,14681,10988,27,NA,NA,180,336,1947,4338,4521,4599,3267,6488,1816,2300,2372,20,32,65.6,2.4,NA,NA,NA,23,17,75,198,274,448,497,1806,586,744,476,1,177,866,369,1554,471,12342,489,316,1517,356,265,82,589,287,790,573,817,540,485,346,148,543,166,676,223,709
16-Jul,25730,3342,437,1495,8333,2110,14697,11006,27,NA,NA,183,337,1954,4346,4525,4602,3269,6493,1821,2301,2371,21,32,66,2,NA,NA,NA,23,17,76,198,274,449,497,1807,586,744,477,1,178,867,369,1555,471,12367,489,316,1518,356,265,83,589,287,791,573,817,540,486,346,148,543,166,677,223,710
17-Jul,25751,3342,437,1495,8338,2146,14708,11016,27,NA,NA,183,337,1959,4351,4526,4605,3272,6497,1824,2301,2372,21,32,66,2,NA,NA,NA,23,17,76,198,274,449,497,1807,586,744,477,1,178,867,369,1557,472,12379,491,316,1521,356,265,83,589,287,791,574,817,540,486,346,148,543,166,677,223,710
18-Jul,25760,3343,437,1495,8342,2146,14713,11019,28,NA,NA,183,337,1960,4353,4530,4605,3273,6498,1824,2302,2372,21,31.9,65.6,2.4,NA,NA,NA,23,17,76,198,274,449,497,1808,586,745,477,1,178,867,369,1557,472,12385,492,316,1523,356,265,83,589,287,791,574,817,540,486,346,148,543,166,677,223,710
19-Jul,25766,3342,437,1495,8348,2146,14716,11022,28,NA,NA,183,338,1960,4353,4532,4607,3274,6498,1824,2302,2372,21,31.8,65.6,2.4,NA,NA,NA,23,17,76,198,274,448,497,1808,586,745,477,1,178,867,369,1557,472,12390,492,316,1524,356,266,83,589,287,791,574,817,540,486,346,148,543,166,676,223,710
20-Jul,25802,3340,438,1497,8355,2153,14725,11049,28,NA,NA,183,340,1965,4359,4536,4618,3279,6501,1826,2303,2372,21,31.7,65.8,2.4,NA,NA,NA,22,18,75,198,274,447,497,1808,587,745,476,1,179,867,369,1560,472,12411,492,316,1525,356,267,83,590,287,791,574,822,541,487,346,148,543,166,676,223,711
21-Jul,25819,3341,438,1505,8367,2226,14735,11056,28,NA,NA,184,340,1966,4363,4539,4621,3280,6505,1827,2304,2374,21,31.6,65.9,2.4,NA,NA,NA,22,18,76,198,274,447,497,1808,587,745,476,1,179,867,369,1561,472,12422,492,316,1526,356,267,83,591,287,791,574,823,541,487,346,148,543,166,677,223,712
22-Jul,25825,3344,438,1505,8380,2264,14738,11059,28,NA,NA,184,340,1967,4365,4540,4622,3280,6506,1829,2304,2373,21,31.6,65.9,2.4,NA,NA,NA,22,18,76,198,274,449,497,1809,587,745,477,1,179,867,369,1560,472,12424,492,316,1529,356,267,83,591,287,791,575,824,541,487,346,148,543,166,677,223,712
23-Jul,25845,3345,438,1506,8381,2274,14748,11067,21,NA,NA,185,342,1970,4372,4544,4622,3281,6508,1831,2304,2373,21,32,66,2,NA,NA,NA,22,18,76,198,274,449,498,1809,587,745,477,1,179,867,369,1560,472,12439,493,316,1532,356,267,83,591,287,792,575,824,541,487,346,148,543,166,677,223,712
24-Jul,25869,3345,438,1506,8384,2282,14761,11079,28,NA,NA,186,342,1973,4379,4553,4626,3281,6508,1831,2304,2373,21,32,66,2,NA,NA,NA,22,18,76,198,274,449,498,1809,587,745,477,1,179,867,372,1562,472,12450,493,317,1534,356,268,83,591,288,792,575,826,541,487,346,148,544,166,677,223,712
25-Jul,25881,3346,438,1506,8390,2282,14769,11084,28,NA,NA,188,342,1976,4385,4553,4626,3282,6508,1831,2304,2373,21,31.6,65.8,2.5,NA,NA,NA,23,18,76,198,274,449,498,1809,587,745,477,1,179,867,372,1562,472,12459,493,317,1535,356,268,83,591,288,792,576,826,541,487,346,148,544,166,677,223,713
26-Jul,25890,3349,437,1506,8395,2282,14770,11092,28,NA,NA,188,343,1977,4386,4556,4629,3282,6508,1831,2304,2373,21,31.6,65.9,2.4,NA,NA,NA,23,18,76,198,274,451,498,1810,588,745,477,1,179,867,372,1563,472,12464,493,317,1538,356,268,83,591,288,792,576,825,541,487,346,149,544,166,677,223,713
27-Jul,25928,3349,438,1506,8401,2291,14788,11112,28,NA,NA,189,346,1984,4397,4563,4634,3285,6509,1831,2305,2373,21,32,66,2,NA,NA,NA,23,18,76,198,274,451,499,1809,587,745,477,1,179,868,380,1563,473,12480,495,317,1541,356,271,84,591,288,793,576,826,541,487,346,149,544,166,678,223,713
28-Jul,25942,3350,438,1506,8407,2303,14799,11115,28,NA,NA,191,347,1985,4405,4563,4634,3286,6510,1832,2305,2373,21,32,66,2,NA,NA,NA,24,18,76,198,274,451,499,1809,587,745,477,1,179,868,380,1563,473,12487,495,317,1543,357,273,84,592,288,793,576,826,541,487,346,149,544,166,679,223,713
29-Jul,26027,3352,437,1506,8420,2303,14831,11168,28,NA,NA,198,355,2004,4420,4572,4650,3291,6517,1835,2307,2375,21,32,66,2,NA,NA,NA,24,18,77,198,274,451,499,1810,587,746,477,1,179,870,391,1566,473,12505,495,317,1572,357,282,84,599,288,793,576,829,541,488,346,149,545,166,680,224,712
30-Jul,26064,3353,437,1506,8429,2313,14847,11189,28,NA,NA,198,357,2014,4433,4578,4655,3290,6518,1835,2307,2376,21,31.5,66,2.5,NA,NA,NA,24,18,77,198,274,451,499,1811,587,746,478,1,179,870,391,1567,474,12520,495,317,1589,357,283,84,600,288,794,576,829,541,488,346,149,545,166,680,224,712
31-Jul,26109,3359,437,1506,8432,2318,14869,11212,28,NA,NA,200,362,2019,4444,4589,4662,3292,6520,1836,2308,2376,21,31.5,66,2.5,NA,NA,NA,23,18,78,201,275,453,499,1811,587,746,478,1,179,876,391,1567,474,12524,498,317,1597,357,286,84,609,288,794,583,830,542,491,346,149,545,166,680,224,712
1-Aug,26162,3359,437,1506,8437,2319,14896,11238,28,NA,NA,206,368,2029,4455,4598,4666,3294,6525,1839,2310,2376,21,31.5,66,2.5,NA,NA,NA,23,18,79,200,275,453,499,1811,587,746,478,1,179,876,391,1567,476,12549,498,317,1603,357,305,84,609,288,794,583,830,542,492,346,149,545,166,680,224,712
2-Aug,26209,3358,437,1506,8438,2321,14915,11266,28,NA,NA,209,372,2037,4474,4603,4671,3296,6526,1840,2310,2376,21,31.4,66,2.5,NA,NA,NA,23,18,78,200,276,451,499,1812,588,746,478,1,179,876,399,1569,476,12551,498,318,1618,357,313,85,610,288,795,583,831,542,497,346,150,545,166,681,224,712
3-Aug,26255,3357,439,1507,8442,2323,14926,11301,28,NA,NA,210,372,2044,4492,4612,4678,3299,6527,1840,2311,2376,21,31.4,66,2.5,NA,NA,NA,24,18,77,200,275,451,499,1812,588,746,478,1,179,878,399,1570,476,12559,498,318,1651,357,314,85,610,288,795,583,831,542,497,346,151,545,166,681,224,712
4-Aug,26303,3359,437,1511,8444,2326,14945,11330,28,NA,NA,215,377,2055,4502,4619,4683,3302,6529,1840,2312,2377,21,31.4,66,2.5,NA,NA,NA,24,18,77,200,275,451,499,1814,589,747,478,1,180,878,399,1572,481,12564,498,318,1661,357,314,85,613,288,796,583,834,542,500,346,153,546,166,681,235,713
5-Aug,26372,3362,438,1514,8448,2331,14982,11361,29,NA,NA,217,381,2062,4521,4632,4700,3306,6532,1842,2313,2377,21,31.2,66.2,2.5,NA,NA,NA,24,18,77,199,275,451,500,1817,590,749,478,1,180,878,401,1575,482,12569,499,318,1680,357,322,85,616,288,797,583,835,542,523,346,153,546,166,681,237,713
6-Aug,26470,3364,438,1514,8451,2331,15021,11418,29,NA,NA,219,383,2076,4554,4658,4719,3314,6536,1844,2315,2377,21,31.1,66.3,2.5,NA,NA,NA,24,18,77,199,275,452,500,1818,590,750,478,1,181,880,401,1575,486,12574,499,318,1715,358,326,85,619,288,799,583,839,543,550,346,153,546,166,682,243,715
7-Aug,26644,3365,438,1514,8456,2332,15070,11545,29,NA,NA,223,389,2098,4594,4695,4747,3332,6545,1852,2316,2377,21,30.9,66.4,2.5,NA,NA,NA,24,18,77,200,275,452,500,1818,590,750,478,1,185,881,403,1582,487,12601,500,318,1825,359,327,85,620,288,799,584,845,543,557,347,153,547,166,682,244,716
8-Aug,26711,3364,438,1514,8458,2336,15101,11582,29,NA,NA,227,395,2109,4612,4711,4752,3337,6547,1854,2316,2377,21,30.9,66.4,2.5,NA,NA,NA,24,18,77,200,275,452,500,1817,590,750,477,1,185,881,403,1582,490,12617,500,318,1845,359,339,85,620,288,799,584,845,543,572,347,153,546,166,682,244,716
9-Aug,26767,3372,439,1515,8467,2334,15128,11611,28,NA,NA,229,399,2124,4623,4719,4761,3343,6548,1855,2316,2377,21,30.7,66.6,2.5,NA,NA,NA,24,18,77,201,276,454,501,1820,593,750,477,1,185,881,406,1585,492,12624,501,320,1864,359,341,85,627,288,799,584,845,543,583,347,153,546,166,682,244,717
10-Aug,26798,3376,441,1516,8469,2391,15146,11623,28,NA,NA,231,403,2136,4623,4723,4765,3344,6552,1858,2317,2377,21,30.5,66.9,2.5,NA,NA,NA,24,18,77,202,276,454,502,1822,593,752,477,1,191,882,411,1587,495,12625,501,320,1862,359,343,85,630,288,800,584,849,543,585,347,153,548,166,682,245,717
11-Aug,26837,3378,441,1516,8474,2465,15165,11643,29,NA,NA,232,408,2144,4631,4730,4773,3344,6554,1860,2317,2377,21,30.5,66.9,2.5,NA,NA,NA,24,18,80,202,275,454,502,1822,593,752,477,1,191,882,412,1587,496,12636,501,320,1873,361,343,85,632,288,800,584,850,543,592,348,153,548,166,682,246,718
12-Aug,26928,3381,441,1516,8480,2474,15213,11686,29,NA,NA,235,416,2169,4650,4740,4784,3353,6560,1862,2319,2379,21,30.6,66.9,2.5,NA,NA,NA,24,18,80,203,276,454,502,1823,593,752,478,1,197,882,421,1589,498,12660,501,321,1896,367,345,85,636,288,801,584,855,545,594,348,153,548,167,682,246,719
13-Aug,26991,3384,441,1516,8484,2477,15244,11719,28,NA,NA,237,419,2186,4661,4753,4791,3356,6567,1866,2320,2381,21,30.6,66.8,2.5,NA,NA,NA,24,18,81,203,277,453,502,1825,593,753,479,1,200,882,428,1592,501,12675,501,321,1909,367,349,85,641,289,802,584,856,545,593,348,155,550,167,682,247,722
